unit,var,0,-10,-20,-31,-50,-100,-250,-500,-1000,-2500,-5000,-10000,-16000
1,k,31.23,14.21,7.31,3.64,1.23E+00,1.43E-01,4.29E-03,2.51E-04,1.41E-05,3.04E-07,1.67E-08,9.15E-10,1.28E-10
1,wc,0.427,0.416,0.393,0.363,0.315,0.229,0.135,0.09,0.062,0.042,0.033,0.028,0.02555
1,z1,0,9.9,19.9,30.6,48.7,87.7,118.6,121.6,122,122,122,122,122
1,z2,0,9.9,19.7,30.3,47.6,80,98.6,100.1,100.3,100.3,100.3,100.3,100.3
2,k,83.24,12.4,4.61,1.83,4.83E-01,3.85E-02,6.21E-04,2.01E-05,5.86E-07,5.13E-09,1.40E-10,3.79E-12,3.28E-13
2,wc,0.434,0.421,0.405,0.387,0.361,0.312,0.244,0.199,0.161,0.123,0.101,0.083,0.07384
2,z1,0,10,19.8,30.4,47.5,74.8,84.3,84.7,84.7,84.7,84.7,84.7,84.7
2,z2,0,9.9,19.6,29.9,45.4,65.1,70.2,70.4,70.4,70.4,70.4,70.4,70.4
3,k,19.08,7.4,4.41,2.73,1.35E+00,3.34E-01,3.07E-02,4.06E-03,5.01E-04,3.03E-05,3.60E-06,4.26E-07,1.00E-07
3,wc,0.443,0.435,0.422,0.406,0.378,0.318,0.228,0.171,0.127,0.088,0.068,0.054,0.04658
3,z1,0,9.9,19.7,30.4,48.4,91.4,161.8,187.5,194.9,197,197.3,197.4,197.4
3,z2,0,9.8,19.5,29.9,47,84.8,133,146.8,150.5,151.6,151.7,151.7,151.7
4,k,34.88,10.09,5.8,3.55,1.77E+00,4.69E-01,5.02E-02,7.55E-03,1.05E-03,7.49E-05,1.00E-05,1.34E-06,3.40E-07
4,wc,0.462,0.454,0.441,0.427,0.403,0.352,0.272,0.216,0.17,0.125,0.1,0.081,0.07036
4,z1,0,9.9,19.8,30.6,48.8,93.4,178.2,218.8,233.1,237.7,238.4,238.6,238.7
4,z2,0,9.9,19.6,30.1,47.7,88,149.4,171.9,179.2,181.5,181.9,182,182
5,k,63.65,18.4,6.24,2.26,5.74E-01,5.81E-02,2.26E-03,1.84E-04,1.49E-05,5.33E-07,4.29E-08,3.45E-09,6.25E-10
5,wc,0.381,0.35,0.298,0.249,0.191,0.121,0.064,0.041,0.028,0.019,0.015,0.013,0.0119
5,z1,0,10,19.9,30.6,47.9,78.3,95,96.8,97.1,97.1,97.1,97.1,97.1
